Zipcode,CountTaxReturns2016,CountDependents2016,AdjGrossIncome2016,TotalIncome2016,CapGains2016,TaxesPaid2016
18241,310,150,12118,12151,-11,0
18249,2050,970,151409,154159,7131,7685
18250,1430,750,64473,64930,517,1849
18252,5060,2740,235172,238287,2997,5402
18255,2120,1010,101333,102717,1512,2837
18301,11750,7190,661392,668275,12763,45319
18302,7800,5000,466766,471297,5340,33966
18321,970,480,49122,49594,215,2524
18322,1390,720,69588,70468,469,3858
18324,4300,2840,205236,207205,1983,12293
18325,1130,490,57519,58345,629,3121
18326,2120,1090,118582,120019,2145,6298
18328,3570,1980,209209,211579,1744,11058
18330,3960,2550,204798,206596,3491,11476
18331,420,210,17937,18046,26,829
18332,1450,870,78777,79713,110,4867
18333,490,200,25176,25436,177,1175
18334,1750,1040,88040,88687,203,5621
18336,1720,940,87963,88891,1600,4601
18337,7180,4160,463488,470350,9454,27485
18343,1990,940,143400,145714,4412,11181
18344,1850,1090,78814,79723,732,4259
18346,1600,950,72964,73680,346,4046
18347,1390,560,70161,71433,1592,3603
18350,800,270,68014,68943,2357,4298
18352,310,130,17580,17775,191,899
18353,5770,2980,327779,331785,6053,19077
18354,570,300,31302,31750,256,1805
18355,660,340,34661,35004,233,1982
18360,13620,7300,788276,800603,20645,49885
18370,550,250,31310,31572,108,1813
18371,350,250,21880,21961,438,1420
18372,1430,740,86682,87758,2496,5219
18403,3780,1930,218803,221856,2905,8160
18405,1140,540,58800,59871,1246,2075
18407,6520,3490,278838,282405,3862,7532
18411,11030,5960,922335,941094,28768,47531
18414,2730,1380,208795,212744,6498,10452
18415,530,240,28751,29210,611,1417
18417,500,210,23615,24012,399,1047
18419,2130,1040,113526,115240,2381,3892
18421,2250,1170,107784,109021,1816,2797
18424,2620,1320,143634,145357,2504,6369
18425,560,290,24231,24417,281,832
18426,1890,830,102372,103815,1651,4177
18428,5600,2550,321659,326490,11482,13942
18431,6300,2970,313094,318628,8130,10828
18433,3400,1610,169180,171729,2873,5136
18434,2120,980,93750,95037,1054,2135
18435,480,230,27993,28445,218,1515
18436,6240,3010,351413,356132,7690,14723
18438,560,240,39064,39964,1197,2027
18439,230,90,12614,12680,92,551
18443,220,100,11465,11587,126,417
18444,6490,3500,421765,428017,6566,18952
18445,1070,470,56038,56750,806,2261
18446,1700,900,85416,86456,3604,2296
18447,5350,2440,261132,265355,4157,7158
18451,260,80,19963,20195,758,776
18452,2450,1060,121681,123736,2064,3034
18453,490,230,23274,23561,214,911
18456,200,80,8713,8817,117,161
18458,1380,660,87197,88392,3103,5394
18461,150,70,6908,6930,-3,137
18462,210,100,9461,9551,59,188
18463,110,40,4347,4383,0,172
18464,710,280,55729,56454,1345,2916
18465,610,240,31899,32306,693,837
18466,7240,5020,296940,299658,1043,15503
18469,210,90,9994,10153,141,463
18470,1110,480,64121,65287,1856,2215
18472,2020,1010,108155,109964,2044,3468
18503,380,50,14890,15105,53,437
18504,10110,5650,397198,401180,2870,14385
18505,9410,5730,376526,380761,4323,14591
18507,2580,1170,207903,210745,5669,8476
18508,5050,2770,176291,177967,715,4246
18509,5640,2890,281889,286088,4638,11049
18510,4810,2860,198154,200675,4478,6924
18512,6530,2780,322170,326603,4591,9847
18517,2620,1330,105090,106206,706,1912
18518,4420,2020,218827,221343,3205,6839
18519,2770,1260,119307,120619,893,2460
18603,9330,4590,420499,425268,5945,9467
18610,2380,1350,116352,117551,477,6821
18612,7440,3710,569151,578597,37018,27755
18614,1140,480,56077,56762,1315,1292
18615,930,430,48249,48910,811,1434
18616,330,120,15730,15886,976,356
18617,810,470,27814,27991,35,103
18618,1910,800,119178,120915,3088,5199
18619,100,50,4791,4791,0,0
18621,2400,1200,118037,119339,1292,3558
18622,140,60,6492,6517,0,157
18623,1260,680,60481,61116,1582,1854
18628,110,50,4334,4334,0,0
18629,860,470,45959,46319,1499,1419
18630,1520,980,91154,91945,3026,2600
18632,150,80,6187,6216,0,0
18634,6430,3130,269368,271759,2127,4688
18635,1940,910,98499,99602,984,2507
18636,650,350,28849,29023,244,684
18640,8250,3800,415746,420673,7995,12425
18641,3500,1550,163265,164750,1158,3659
18642,2260,1140,116153,117202,919,3903
18643,6260,2930,318348,322666,4290,10362
18644,3900,1730,228117,231726,3910,8482
18651,4200,2280,153298,154606,1028,2540
18655,2880,1430,153863,155325,2363,4175
18656,1090,580,56718,57383,639,1863
18657,5570,2640,327807,332107,10166,10614
18660,1860,810,98256,99417,1888,2894
18661,2730,1130,130533,131853,1402,4295
18701,710,150,28167,28395,258,731
18702,18080,10040,747423,755582,10477,24397
18704,15610,6970,770016,780381,15149,23887
18705,7550,3410,332069,335445,4072,8249
18706,8090,3820,352369,355890,5024,8728
18707,7960,4510,617952,627262,13390,29626
18708,4570,2360,426180,435210,19287,23135
18709,1440,600,53133,53558,240,785
18801,4010,2020,221242,224271,7303,7328
18810,2660,1540,138205,139637,1772,5132
18812,730,330,48717,49468,1026,2090
18818,610,280,30656,31131,703,903
18821,540,240,22303,22502,102,378
18822,1620,850,71546,72530,1157,1431
18823,110,50,6480,6480,0,0
18824,620,260,34567,34906,495,839
18826,880,430,54767,55658,2021,1747
18828,140,80,5478,5552,0,94
18829,390,260,20042,20150,254,434
18830,360,150,21085,21254,96,660
18831,580,290,28017,28343,385,850
18832,800,450,35229,35524,229,614
18833,910,450,44602,45032,914,983
18834,1660,860,98319,99580,2061,3011
18837,1380,880,63492,64326,1117,1430
18840,5030,2640,277173,280254,6647,10701
18842,150,70,6823,6919,77,100
18844,820,470,51668,52050,1563,1724
18845,180,110,11239,11264,0,385
18846,360,220,21193,21323,621,676
18847,2350,1280,117469,119265,3309,2746
18848,4180,2200,214160,216906,4740,6188
18850,1210,700,56311,56903,644,1388
18851,320,180,14231,14371,24,332
18853,2040,1050,121695,122853,4140,3920
18854,720,400,33244,33564,404,723
18901,14120,6470,1545403,1573616,114771,95003
18902,10350,7320,1564741,1591363,96979,109416
18913,230,90,47470,49272,2385,3536
18914,10520,6840,1029824,1046016,28243,70050
18915,740,400,49443,49921,564,2964
18917,1140,560,64198,64894,629,3638
18920,350,110,51780,52495,2934,3520
18923,540,440,62692,63811,566,4460
18925,2860,2300,402430,409771,11963,29768
18929,4470,3020,570181,578624,25991,39394
18930,1270,540,100032,101812,4308,6569
18932,290,140,21407,21829,437,1385
18936,190,110,13922,14325,26,628
18938,7090,3300,1651899,1678128,243128,112249
18940,15580,9030,2707987,2758456,199816,187926
18942,1540,580,130808,133509,11586,8347
18944,12210,7300,992767,1008070,54296,67527
18947,2930,1740,333096,338892,16674,21935
18951,17380,9890,1125434,1141593,24099,72189
18954,4960,2970,678244,691957,58887,47069
18955,770,380,43107,43623,417,2244
18960,6770,3580,453992,460827,7974,30357
18964,7220,3980,481849,488187,14561,29756
18966,20520,10600,1830801,1861752,66291,124811
18969,8090,4530,583099,592579,15608,36750
18972,1550,610,114252,116355,5568,7595
18974,22080,10430,1618484,1640552,61658,92653
18976,10790,6390,951358,963862,26437,62061
18977,2200,1170,387977,395444,17927,29143
19001,8770,5120,588762,596701,10058,40030
19002,16540,9810,2418455,2465387,192948,162009
19003,6700,3390,695011,709623,39974,46352
19004,5010,3190,840428,860465,113688,56622
19006,11180,6510,2041345,2070983,390270,148380
19007,10770,6220,467787,472053,3971,22703
19008,10630,5740,884206,900910,31841,53969
19010,8990,5020,2487355,2531267,434744,166493
19012,3340,2100,238641,242290,4603,21329
19013,13390,11420,373559,375825,637,7641
19014,10620,5620,730022,737972,8795,49369
19015,8210,4820,414864,418552,3421,20575
19018,12170,6270,624368,630336,4198,37404
19020,28450,15810,1676479,1697930,29548,85173
19021,5120,2800,236299,238054,816,12805
19022,1640,1150,67844,68362,180,2604
19023,9710,8200,327670,330300,1026,14550
19025,2950,1750,439518,451117,60561,32333
19026,16100,9010,1054598,1068199,18068,75702
19027,9890,5450,824338,839917,43668,65949
19029,2160,1040,103447,104059,753,4004
19030,6310,3230,374529,378262,2668,21340
19031,2300,1240,292484,299433,22512,20027
19032,3240,2230,134555,135636,523,6998
19033,4090,2100,244675,246906,1272,18084
19034,3310,2050,652477,663469,64163,43584
