,0
Zipcode[T.58789],242165.7565834917
Zipcode[T.58795],50948.38303453078
Zipcode[T.58801],341987.456374223
Zipcode[T.58830],88792.4013853095
Zipcode[T.58831],-67071.49534361536
Zipcode[T.58835],-36633.43765370957
Zipcode[T.58845],142425.522797752
Zipcode[T.58847],75951.3503246468
Zipcode[T.58852],-57333.81682862115
Zipcode[T.58854],161745.95631399797
Zipcode[T.59003],-39487.426649918816
Zipcode[T.59006],-47728.332038163404
Zipcode[T.59008],-29813.929867847684
Zipcode[T.59016],5067.656569400799
Zipcode[T.59029],-59814.57757135433
Zipcode[T.59030],-5581.82262173239
Zipcode[T.59034],92043.18560600257
Zipcode[T.59047],-54996.90562969001
Zipcode[T.59050],-83291.25081992036
Zipcode[T.59063],-115525.25947115128
Zipcode[T.59064],-86253.50089031983
Zipcode[T.59069],-100694.63870063511
Zipcode[T.59072],-85853.98560485765
Zipcode[T.59074],-45747.818178606016
Zipcode[T.59086],-115456.95857530003
Zipcode[T.59087],-92554.37862560022
Zipcode[T.59088],-101895.74803697449
Zipcode[T.59101],-42264.71620907991
Zipcode[T.59105],37175.4427244447
Zipcode[T.59218],-39977.57680200742
Zipcode[T.59221],40139.176792251375
Zipcode[T.59222],31519.58315625662
Zipcode[T.59223],-33552.01315008948
Zipcode[T.59225],51785.55162012708
Zipcode[T.59248],599146.5474326516
Zipcode[T.59255],103174.66032064932
Zipcode[T.59259],-97212.00290457132
Zipcode[T.59261],-48679.38067950731
Zipcode[T.59262],241070.91136828536
Zipcode[T.59324],73928.22816627547
Zipcode[T.59336],-13171.620369409384
Zipcode[T.59344],5770.288402720001
Zipcode[T.59416],-48479.76619292775
Zipcode[T.59417],-24754.10993697549
Zipcode[T.59427],-28220.348235927333
Zipcode[T.59453],-82759.46505314494
Zipcode[T.59460],-63704.14865095278
Zipcode[T.60081],-179399.26247322236
Zipcode[T.60083],-78812.76747946991
Zipcode[T.60084],-121249.72850920502
Zipcode[T.60085],-195676.07732766675
Zipcode[T.60088],-136379.92479374257
Zipcode[T.60090],-71224.37426317215
Zipcode[T.60093],-124906.11592162204
Zipcode[T.60096],-131488.97776609904
Zipcode[T.60098],-66568.28313842947
Zipcode[T.60099],-34895.24462972342
Zipcode[T.60102],-97508.02607411842
Zipcode[T.60103],-77170.30802717106
Zipcode[T.60107],-159544.82914292294
Zipcode[T.60108],-91833.11932512771
Zipcode[T.60111],-248779.58965470435
Zipcode[T.60112],-189296.83543577304
Zipcode[T.60115],-25991.52976998524
Zipcode[T.60119],-179634.12912895012
Zipcode[T.60120],-130965.68196626163
Zipcode[T.60123],-143760.1496298866
Zipcode[T.60124],-96341.49900402561
Zipcode[T.60126],22263.192362134443
Zipcode[T.60130],36250.97195091527
Zipcode[T.60131],-102385.48990827895
Zipcode[T.60133],-172226.75445046066
Zipcode[T.60135],-86801.87187892792
Zipcode[T.60139],-170625.44638573608
Zipcode[T.60142],-71806.64870685006
Zipcode[T.60145],-89829.09133062535
Zipcode[T.60148],56078.15535815202
Zipcode[T.60151],-172086.47970669792
Zipcode[T.60152],-185780.00325986804
Zipcode[T.60153],-189043.75740647546
Zipcode[T.60160],-69849.595245476
Zipcode[T.60162],-134697.02371540008
Zipcode[T.60163],-184811.40339645225
Zipcode[T.60164],-145557.3527562781
Zipcode[T.60165],-268356.5547266133
Zipcode[T.60169],-167377.26952306068
Zipcode[T.60301],-175689.1253404893
Zipcode[T.60302],-1660.107392020614
Zipcode[T.60304],-76693.8336156088
Zipcode[T.60305],-128028.47467127231
Zipcode[T.60404],-230607.3335715434
Zipcode[T.60406],-236646.97390779835
Zipcode[T.60407],-231333.33779404606
Zipcode[T.60408],-231698.26521804673
Zipcode[T.60409],-88491.52302723823
Zipcode[T.60410],-154889.98827852134
Zipcode[T.60419],-121413.44920963359
Zipcode[T.60420],-82562.03953316528
Zipcode[T.60421],49029.61948639477
Zipcode[T.60423],-25441.636963564157
Zipcode[T.60425],-46640.93622677273
Zipcode[T.60426],-56001.00562793639
Zipcode[T.60428],-61145.77666260395
Zipcode[T.60429],-77509.64672254959
Zipcode[T.60430],-77709.7570888806
Zipcode[T.60431],-162942.13110570042
Zipcode[T.60432],-100867.43772308159
Zipcode[T.60433],19662.62436394945
Zipcode[T.60435],-137554.34051398124
Zipcode[T.60439],76382.61469391486
Zipcode[T.60441],-160612.31022985655
Zipcode[T.60442],-172697.90715873585
Zipcode[T.60443],-184055.58194371776
Zipcode[T.60444],-138742.31715194508
Zipcode[T.60448],-99583.58179190785
Zipcode[T.60450],2556.2668511429647
Zipcode[T.60451],-19399.831785997798
Zipcode[T.60452],25002.067456960856
Zipcode[T.60453],641821.5338869224
Zipcode[T.60455],-58916.971911757275
Zipcode[T.60456],-39391.64989132782
Zipcode[T.60461],766342.6074636917
Zipcode[T.60462],244984.9527181202
Zipcode[T.60463],56018.78933876532
Zipcode[T.60466],1399293.3692829437
Zipcode[T.60467],1140201.8101430791
Zipcode[T.60471],939212.8751401788
Zipcode[T.60473],70586.1882940484
Zipcode[T.60476],517574.00453651167
Zipcode[T.60477],57698.01104246128
Zipcode[T.60478],37490.519771704036
Zipcode[T.60484],892425.4140971166
Zipcode[T.60487],263944.98361160635
Zipcode[T.60490],602320.5585196737
Zipcode[T.60502],109260.49085842245
Zipcode[T.60503],37128.97974819614
Zipcode[T.60504],97870.60161571424
Zipcode[T.60517],-15458.437658041848
Zipcode[T.60518],-644.3053234225415
Zipcode[T.60520],139702.3655778766
Zipcode[T.60521],77144.87547129024
Zipcode[T.60525],132152.38530395532
Zipcode[T.60526],82917.64804339394
Zipcode[T.60527],14225.496527139489
Zipcode[T.60530],-15922.30749671161
Zipcode[T.60532],134726.56439253906
Zipcode[T.60534],-99140.13491140436
Zipcode[T.60538],43956.42699286987
Zipcode[T.60540],184791.69287396598
Zipcode[T.60541],-6233.576078628277
Zipcode[T.60542],34025.47292334225
Zipcode[T.60543],200493.13258544065
Zipcode[T.60544],29649.501417804575
Zipcode[T.60545],660723.7035417932
Zipcode[T.60546],26598.838105585317
Zipcode[T.60548],20617.98276632369
Zipcode[T.60549],-33363.08180591932
Zipcode[T.60550],3499.1758544177815
Zipcode[T.60551],-57470.93080396378
Zipcode[T.60552],173055.7351884459
Zipcode[T.60553],97506.6118683663
Zipcode[T.60554],280125.8159024339
Zipcode[T.60555],120284.78494972984
Zipcode[T.60556],262237.3296450965
Zipcode[T.60558],213342.1343024123
Zipcode[T.60559],450504.4854814956
Zipcode[T.60560],40396.48396038176
Zipcode[T.60561],-56298.31390197724
