,Shell,,BP,,Petróleo Brasileiro S.A. - Petrobras,
Competitor,Date, Adj Close ,Date,Adj Close,Date,Adj Close
BP,12/15/2015, $26.30 ,,,,
BP,12/16/2015, $26.41 ,,,,
BP,12/17/2015, $25.96 ,,,,
BP,12/18/2015, $25.79 ,,,,
BP,12/21/2015, $25.77 ,,,,
BP,12/22/2015, $26.34 ,,,,
BP,12/23/2015, $27.67 ,,,,
BP,12/24/2015, $27.48 ,,,,
BP,12/28/2015, $27.12 ,,,,
BP,12/29/2015, $27.26 ,,,,
BP,12/30/2015, $26.78 ,,,,
BP,12/31/2015, $26.74 ,,,,
BP,1/4/2016, $26.57 ,,,,
BP,1/5/2016, $26.46 ,,,,
BP,1/6/2016, $25.92 ,,,,
BP,1/7/2016, $25.17 ,,,,
BP,1/8/2016, $24.73 ,,,,
BP,1/11/2016, $24.67 ,,,,
BP,1/12/2016, $24.51 ,,,,
BP,1/13/2016, $24.61 ,,,,
BP,1/14/2016, $26.37 ,,,,
BP,1/15/2016, $24.94 ,,,,
BP,1/19/2016, $24.74 ,,,,
BP,1/20/2016, $24.34 ,,,,
BP,1/21/2016, $25.20 ,,,,
BP,1/22/2016, $25.96 ,,,,
BP,1/25/2016, $25.21 ,,,,
BP,1/26/2016, $26.29 ,,,,
BP,1/27/2016, $26.24 ,,,,
BP,1/28/2016, $27.28 ,,,,
BP,1/29/2016, $27.69 ,,,,
BP,2/1/2016, $27.12 ,,,,
BP,2/2/2016, $24.82 ,,,,
BP,2/3/2016, $25.37 ,,,,
BP,2/4/2016, $26.18 ,,,,
BP,2/5/2016, $26.06 ,,,,
BP,2/8/2016, $25.59 ,,,,
BP,2/9/2016, $24.76 ,,,,
BP,2/10/2016, $24.49 ,,,,
BP,2/11/2016, $24.14 ,,,,
BP,2/12/2016, $25.35 ,,,,
BP,2/16/2016, $25.38 ,,,,
BP,2/17/2016, $26.16 ,,,,
BP,2/18/2016, $26.01 ,,,,
BP,2/19/2016, $25.99 ,,,,
BP,2/22/2016, $26.47 ,,,,
BP,2/23/2016, $25.33 ,,,,
BP,2/24/2016, $24.93 ,,,,
BP,2/25/2016, $25.03 ,,,,
BP,2/26/2016, $25.33 ,,,,
BP,2/29/2016, $25.41 ,,,,
BP,3/1/2016, $25.88 ,,,,
BP,3/2/2016, $26.39 ,,,,
BP,3/3/2016, $26.96 ,,,,
BP,3/4/2016, $27.21 ,,,,
BP,3/7/2016, $27.52 ,,,,
BP,3/8/2016, $26.27 ,,,,
BP,3/9/2016, $26.47 ,,,,
BP,3/10/2016, $26.06 ,,,,
BP,3/11/2016, $26.69 ,,,,
BP,3/14/2016, $26.16 ,,,,
BP,3/15/2016, $25.89 ,,,,
BP,3/16/2016, $26.65 ,,,,
BP,3/17/2016, $27.55 ,,,,
BP,3/18/2016, $27.37 ,,,,
BP,3/21/2016, $27.18 ,,,,
BP,3/22/2016, $27.03 ,,,,
BP,3/23/2016, $26.38 ,,,,
BP,3/24/2016, $26.57 ,,,,
BP,3/28/2016, $26.57 ,,,,
BP,3/29/2016, $26.51 ,,,,
BP,3/30/2016, $27.02 ,,,,
BP,3/31/2016, $26.36 ,,,,
BP,4/1/2016, $25.83 ,,,,
BP,4/4/2016, $25.84 ,,,,
BP,4/5/2016, $25.27 ,,,,
BP,4/6/2016, $25.59 ,,,,
BP,4/7/2016, $25.45 ,,,,
BP,4/8/2016, $26.34 ,,,,
BP,4/11/2016, $26.48 ,,,,
BP,4/12/2016, $27.25 ,,,,
BP,4/13/2016, $27.41 ,,,,
BP,4/14/2016, $27.01 ,,,,
BP,4/15/2016, $26.77 ,,,,
BP,4/18/2016, $27.13 ,,,,
BP,4/19/2016, $27.74 ,,,,
BP,4/20/2016, $27.83 ,,,,
BP,4/21/2016, $27.72 ,,,,
BP,4/22/2016, $28.08 ,,,,
BP,4/25/2016, $27.77 ,,,,
BP,4/26/2016, $29.25 ,,,,
BP,4/27/2016, $29.56 ,,,,
BP,4/28/2016, $29.25 ,,,,
BP,4/29/2016, $29.33 ,,,,
BP,5/2/2016, $29.37 ,,,,
BP,5/3/2016, $28.44 ,,,,
BP,5/4/2016, $27.96 ,,,,
BP,5/5/2016, $28.10 ,,,,
BP,5/6/2016, $28.10 ,,,,
BP,5/9/2016, $27.66 ,,,,
BP,5/10/2016, $28.19 ,,,,
BP,5/11/2016, $28.18 ,,,,
BP,5/12/2016, $28.35 ,,,,
BP,5/13/2016, $28.01 ,,,,
BP,5/16/2016, $28.53 ,,,,
BP,5/17/2016, $28.67 ,,,,
BP,5/18/2016, $28.59 ,,,,
BP,5/19/2016, $28.46 ,,,,
BP,5/20/2016, $28.41 ,,,,
BP,5/23/2016, $28.00 ,,,,
BP,5/24/2016, $28.33 ,,,,
BP,5/25/2016, $29.24 ,,,,
BP,5/26/2016, $29.01 ,,,,
BP,5/27/2016, $28.80 ,,,,
BP,5/31/2016, $27.94 ,,,,
BP,6/1/2016, $27.89 ,,,,
BP,6/2/2016, $28.05 ,,,,
BP,6/3/2016, $28.37 ,,,,
BP,6/6/2016, $28.95 ,,,,
BP,6/7/2016, $29.43 ,,,,
BP,6/8/2016, $29.61 ,,,,
BP,6/9/2016, $29.40 ,,,,
BP,6/10/2016, $28.67 ,,,,
BP,6/13/2016, $28.35 ,,,,
BP,6/14/2016, $27.52 ,,,,
BP,6/15/2016, $27.72 ,,,,
BP,6/16/2016, $28.50 ,,,,
BP,6/17/2016, $29.14 ,,,,
BP,6/20/2016, $29.74 ,,,,
BP,6/21/2016, $30.39 ,,,,
BP,6/22/2016, $30.16 ,,,,
BP,6/23/2016, $30.82 ,,,,
BP,6/24/2016, $29.35 ,,,,
BP,6/27/2016, $28.47 ,,,,
BP,6/28/2016, $29.58 ,,,,
BP,6/29/2016, $30.96 ,,,,
BP,6/30/2016, $31.60 ,,,,
BP,7/1/2016, $32.04 ,,,,
BP,7/5/2016, $31.95 ,,,,
BP,7/6/2016, $31.65 ,,,,
BP,7/7/2016, $31.50 ,,,,
BP,7/8/2016, $31.97 ,,,,
BP,7/11/2016, $32.13 ,,,,
BP,7/12/2016, $32.85 ,,,,
BP,7/13/2016, $32.53 ,,,,
BP,7/14/2016, $32.53 ,,,,
BP,7/15/2016, $32.53 ,,,,
BP,7/18/2016, $32.19 ,,,,
BP,7/19/2016, $32.06 ,,,,
BP,7/20/2016, $32.00 ,,,,
BP,7/21/2016, $31.89 ,,,,
BP,7/22/2016, $31.92 ,,,,
BP,7/25/2016, $31.06 ,,,,
BP,7/26/2016, $30.78 ,,,,
BP,7/27/2016, $30.76 ,,,,
BP,7/28/2016, $30.25 ,,,,
BP,7/29/2016, $30.61 ,,,,
BP,8/1/2016, $29.53 ,,,,
BP,8/2/2016, $29.77 ,,,,
BP,8/3/2016, $29.91 ,,,,
BP,8/4/2016, $29.90 ,,,,
BP,8/5/2016, $30.04 ,,,,
BP,8/8/2016, $30.06 ,,,,
BP,8/9/2016, $30.25 ,,,,
BP,8/10/2016, $29.91 ,,,,
BP,8/11/2016, $30.48 ,,,,
BP,8/12/2016, $30.57 ,,,,
BP,8/15/2016, $30.69 ,,,,
BP,8/16/2016, $31.00 ,,,,
BP,8/17/2016, $30.99 ,,,,
BP,8/18/2016, $31.40 ,,,,
BP,8/19/2016, $31.11 ,,,,
BP,8/22/2016, $30.77 ,,,,
BP,8/23/2016, $30.93 ,,,,
BP,8/24/2016, $31.05 ,,,,
BP,8/25/2016, $31.01 ,,,,
BP,8/26/2016, $30.95 ,,,,
BP,8/29/2016, $31.03 ,,,,
BP,8/30/2016, $30.90 ,,,,
BP,8/31/2016, $30.68 ,,,,
BP,9/1/2016, $30.50 ,,,,
BP,9/2/2016, $31.26 ,,,,
BP,9/6/2016, $31.43 ,,,,
BP,9/7/2016, $31.50 ,,,,
BP,9/8/2016, $31.79 ,,,,
BP,9/9/2016, $31.13 ,,,,
BP,9/12/2016, $31.38 ,,,,
BP,9/13/2016, $30.36 ,,,,
BP,9/14/2016, $30.19 ,,,,
BP,9/15/2016, $30.46 ,,,,
BP,9/16/2016, $30.18 ,,,,
BP,9/19/2016, $30.30 ,,,,
BP,9/20/2016, $29.97 ,,,,
BP,9/21/2016, $30.46 ,,,,
BP,9/22/2016, $31.04 ,,,,
BP,9/23/2016, $30.77 ,,,,
BP,9/26/2016, $30.52 ,,,,
BP,9/27/2016, $30.46 ,,,,
BP,9/28/2016, $31.57 ,,,,
BP,9/29/2016, $31.77 ,,,,
BP,9/30/2016, $31.86 ,,,,
BP,10/3/2016, $32.14 ,,,,
BP,10/4/2016, $32.33 ,,,,
BP,10/5/2016, $32.65 ,,,,
BP,10/6/2016, $32.58 ,,,,
BP,10/7/2016, $32.78 ,,,,
BP,10/10/2016, $33.23 ,,,,
BP,10/11/2016, $32.42 ,,,,
BP,10/12/2016, $32.43 ,,,,
BP,10/13/2016, $32.33 ,,,,
BP,10/14/2016, $32.48 ,,,,
BP,10/17/2016, $32.17 ,,,,
BP,10/18/2016, $32.60 ,,,,
BP,10/19/2016, $32.67 ,,,,
BP,10/20/2016, $32.67 ,,,,
BP,10/21/2016, $32.85 ,,,,
BP,10/24/2016, $32.50 ,,,,
BP,10/25/2016, $32.66 ,,,,
BP,10/26/2016, $32.49 ,,,,
BP,10/27/2016, $32.62 ,,,,
BP,10/28/2016, $32.33 ,,,,
BP,10/31/2016, $32.21 ,,,,
BP,11/1/2016, $30.91 ,,,,
BP,11/2/2016, $30.82 ,,,,
BP,11/3/2016, $30.66 ,,,,
BP,11/4/2016, $30.39 ,,,,
BP,11/7/2016, $30.83 ,,,,
BP,11/8/2016, $30.88 ,,,,
BP,11/9/2016, $31.21 ,,,,
BP,11/10/2016, $31.31 ,,,,
BP,11/11/2016, $30.61 ,,,,
BP,11/14/2016, $30.42 ,,,,
BP,11/15/2016, $31.00 ,,,,
BP,11/16/2016, $30.72 ,,,,
BP,11/17/2016, $30.90 ,,,,
BP,11/18/2016, $31.03 ,,,,
BP,11/21/2016, $31.73 ,,,,
BP,11/22/2016, $31.86 ,,,,
BP,11/23/2016, $31.73 ,,,,
BP,11/25/2016, $31.61 ,,,,
BP,11/28/2016, $31.10 ,,,,
BP,11/29/2016, $30.92 ,,,,
BP,11/30/2016, $32.29 ,,,,
BP,12/1/2016, $32.64 ,,,,
BP,12/2/2016, $32.73 ,,,,
BP,12/5/2016, $32.73 ,,,,
BP,12/6/2016, $32.81 ,,,,
BP,12/7/2016, $33.11 ,,,,
BP,12/8/2016, $33.38 ,,,,
BP,12/9/2016, $33.22 ,,,,
BP,12/12/2016, $33.68 ,,,,
BP,12/13/2016, $33.94 ,,,,
BP,12/14/2016, $33.23 ,,,,
BP,12/15/2016, $33.07 ,,,,
BP,12/16/2016, $33.75 ,,,,
BP,12/19/2016, $33.72 ,,,,
BP,12/20/2016, $33.69 ,,,,
BP,12/21/2016, $33.93 ,,,,
BP,12/22/2016, $34.05 ,,,,
BP,12/23/2016, $34.15 ,,,,
BP,12/27/2016, $34.23 ,,,,
BP,12/28/2016, $34.36 ,,,,
BP,12/29/2016, $34.50 ,,,,
BP,12/30/2016, $34.48 ,,,,
BP,1/3/2017, $35.05 ,,,,
BP,1/4/2017, $35.32 ,,,,
BP,1/5/2017, $35.58 ,,,,
BP,1/6/2017, $34.97 ,,,,
BP,1/9/2017, $34.42 ,,,,
BP,1/10/2017, $34.23 ,,,,
BP,1/11/2017, $34.64 ,,,,
BP,1/12/2017, $34.83 ,,,,
BP,1/13/2017, $34.74 ,,,,
BP,1/17/2017, $34.54 ,,,,
BP,1/18/2017, $34.22 ,,,,
BP,1/19/2017, $34.04 ,,,,
BP,1/20/2017, $33.98 ,,,,
BP,1/23/2017, $33.78 ,,,,
BP,1/24/2017, $34.05 ,,,,
BP,1/25/2017, $34.16 ,,,,
BP,1/26/2017, $33.89 ,,,,
BP,1/27/2017, $33.74 ,,,,
BP,1/30/2017, $33.17 ,,,,
BP,1/31/2017, $33.19 ,,,,
BP,2/1/2017, $33.20 ,,,,
BP,2/2/2017, $33.01 ,,,,
BP,2/3/2017, $33.13 ,,,,
BP,2/6/2017, $33.04 ,,,,
BP,2/7/2017, $31.71 ,,,,
BP,2/8/2017, $31.76 ,,,,
BP,2/9/2017, $31.77 ,,,,
BP,2/10/2017, $31.85 ,,,,
BP,2/13/2017, $31.97 ,,,,
BP,2/14/2017, $31.90 ,,,,
BP,2/15/2017, $31.73 ,,,,
BP,2/16/2017, $31.62 ,,,,
BP,2/17/2017, $31.37 ,,,,
BP,2/21/2017, $31.76 ,,,,
BP,2/22/2017, $31.36 ,,,,
BP,2/23/2017, $31.78 ,,,,
BP,2/24/2017, $31.45 ,,,,
BP,2/27/2017, $31.90 ,,,,
BP,2/28/2017, $31.84 ,,,,
BP,3/1/2017, $32.13 ,,,,
BP,3/2/2017, $32.03 ,,,,
BP,3/3/2017, $32.00 ,,,,
BP,3/6/2017, $31.89 ,,,,
BP,3/7/2017, $31.79 ,,,,
BP,3/8/2017, $31.27 ,,,,
BP,3/9/2017, $31.45 ,,,,
BP,3/10/2017, $32.23 ,,,,
BP,3/13/2017, $31.98 ,,,,
BP,3/14/2017, $31.38 ,,,,
BP,3/15/2017, $31.71 ,,,,
BP,3/16/2017, $31.93 ,,,,
BP,3/17/2017, $32.18 ,,,,
BP,3/20/2017, $32.09 ,,,,
BP,3/21/2017, $32.14 ,,,,
BP,3/22/2017, $31.91 ,,,,
BP,3/23/2017, $31.97 ,,,,
BP,3/24/2017, $31.71 ,,,,
BP,3/27/2017, $31.68 ,,,,
BP,3/28/2017, $31.84 ,,,,
BP,3/29/2017, $32.32 ,,,,
BP,3/30/2017, $32.40 ,,,,
BP,3/31/2017, $32.40 ,,,,
BP,4/3/2017, $32.29 ,,,,
BP,4/4/2017, $32.66 ,,,,
BP,4/5/2017, $32.47 ,,,,
BP,4/6/2017, $32.60 ,,,,
BP,4/7/2017, $32.71 ,,,,
BP,4/10/2017, $32.94 ,,,,
BP,4/11/2017, $33.20 ,,,,
BP,4/12/2017, $33.28 ,,,,
BP,4/13/2017, $32.85 ,,,,
BP,4/17/2017, $32.88 ,,,,
BP,4/18/2017, $32.55 ,,,,
BP,4/19/2017, $32.05 ,,,,
BP,4/20/2017, $32.06 ,,,,
BP,4/21/2017, $31.92 ,,,,
BP,4/24/2017, $32.34 ,,,,
BP,4/25/2017, $32.54 ,,,,
BP,4/26/2017, $32.54 ,,,,
BP,4/27/2017, $32.29 ,,,,
BP,4/28/2017, $32.22 ,,,,
BP,5/1/2017, $32.22 ,,,,
BP,5/2/2017, $32.62 ,,,,
BP,5/3/2017, $32.56 ,,,,
BP,5/4/2017, $32.22 ,,,,
BP,5/5/2017, $33.14 ,,,,
BP,5/8/2017, $33.26 ,,,,
BP,5/9/2017, $33.18 ,,,,
BP,5/10/2017, $33.43 ,,,,
BP,5/11/2017, $33.62 ,,,,
BP,5/12/2017, $33.79 ,,,,
BP,5/15/2017, $34.10 ,,,,
BP,5/16/2017, $34.61 ,,,,
BP,5/17/2017, $34.54 ,,,,
BP,5/18/2017, $34.86 ,,,,
BP,5/19/2017, $35.27 ,,,,
BP,5/22/2017, $35.29 ,,,,
BP,5/23/2017, $35.27 ,,,,
BP,5/24/2017, $35.24 ,,,,
BP,5/25/2017, $34.76 ,,,,
BP,5/26/2017, $34.77 ,,,,
BP,5/30/2017, $34.63 ,,,,
BP,5/31/2017, $34.52 ,,,,
BP,6/1/2017, $34.61 ,,,,
BP,6/2/2017, $34.29 ,,,,
BP,6/5/2017, $34.45 ,,,,
BP,6/6/2017, $34.61 ,,,,
BP,6/7/2017, $33.82 ,,,,
BP,6/8/2017, $33.81 ,,,,
BP,6/9/2017, $34.21 ,,,,
BP,6/12/2017, $34.20 ,,,,
BP,6/13/2017, $34.41 ,,,,
BP,6/14/2017, $33.78 ,,,,
BP,6/15/2017, $33.65 ,,,,
BP,6/16/2017, $34.38 ,,,,
BP,6/19/2017, $34.42 ,,,,
BP,6/20/2017, $33.40 ,,,,
BP,6/21/2017, $33.09 ,,,,
BP,6/22/2017, $33.04 ,,,,
BP,6/23/2017, $33.27 ,,,,
BP,6/26/2017, $33.31 ,,,,
BP,6/27/2017, $33.57 ,,,,
BP,6/28/2017, $33.68 ,,,,
BP,6/29/2017, $33.29 ,,,,
BP,6/30/2017, $33.09 ,,,,
BP,7/3/2017, $33.44 ,,,,
BP,7/5/2017, $32.87 ,,,,
BP,7/6/2017, $32.89 ,,,,
BP,7/7/2017, $32.81 ,,,,
BP,7/10/2017, $32.78 ,,,,
BP,7/11/2017, $32.81 ,,,,
BP,7/12/2017, $33.30 ,,,,
BP,7/13/2017, $33.15 ,,,,
BP,7/14/2017, $33.37 ,,,,
BP,7/17/2017, $33.35 ,,,,
BP,7/18/2017, $33.26 ,,,,
BP,7/19/2017, $33.45 ,,,,
BP,7/20/2017, $33.52 ,,,,
BP,7/21/2017, $33.12 ,,,,
BP,7/24/2017, $32.91 ,,,,
BP,7/25/2017, $33.33 ,,,,
BP,7/26/2017, $33.27 ,,,,
BP,7/27/2017, $33.41 ,,,,
BP,7/28/2017, $33.57 ,,,,
BP,7/31/2017, $33.56 ,,,,
BP,8/1/2017, $34.63 ,,,,
BP,8/2/2017, $34.76 ,,,,
BP,8/3/2017, $34.51 ,,,,
BP,8/4/2017, $34.69 ,,,,
BP,8/7/2017, $35.09 ,,,,
BP,8/8/2017, $34.89 ,,,,
BP,8/9/2017, $35.11 ,,,,
BP,8/10/2017, $34.44 ,,,,
BP,8/11/2017, $33.92 ,,,,
BP,8/14/2017, $33.67 ,,,,
BP,8/15/2017, $33.56 ,,,,
BP,8/16/2017, $33.29 ,,,,
BP,8/17/2017, $33.11 ,,,,
BP,8/18/2017, $33.16 ,,,,
BP,8/21/2017, $33.01 ,,,,
BP,8/22/2017, $33.15 ,,,,
BP,8/23/2017, $33.24 ,,,,
BP,8/24/2017, $33.18 ,,,,
BP,8/25/2017, $33.53 ,,,,
BP,8/28/2017, $33.47 ,,,,
BP,8/29/2017, $33.37 ,,,,
BP,8/30/2017, $33.37 ,,,,
BP,8/31/2017, $33.72 ,,,,
BP,9/1/2017, $33.76 ,,,,
BP,9/5/2017, $33.93 ,,,,
BP,9/6/2017, $34.29 ,,,,
BP,9/7/2017, $34.47 ,,,,
BP,9/8/2017, $34.29 ,,,,
BP,9/11/2017, $34.52 ,,,,
BP,9/12/2017, $34.71 ,,,,
BP,9/13/2017, $34.94 ,,,,
BP,9/14/2017, $35.27 ,,,,
BP,9/15/2017, $35.51 ,,,,
BP,9/18/2017, $35.58 ,,,,
BP,9/19/2017, $35.87 ,,,,
BP,9/20/2017, $36.15 ,,,,
BP,9/21/2017, $36.60 ,,,,
BP,9/22/2017, $36.72 ,,,,
BP,9/25/2017, $37.13 ,,,,
BP,9/26/2017, $36.77 ,,,,
BP,9/27/2017, $36.91 ,,,,
BP,9/28/2017, $37.30 ,,,,
BP,9/29/2017, $37.31 ,,,,
BP,10/2/2017, $37.27 ,,,,
BP,10/3/2017, $37.57 ,,,,
BP,10/4/2017, $37.52 ,,,,
BP,10/5/2017, $37.48 ,,,,
BP,10/6/2017, $37.15 ,,,,
BP,10/9/2017, $37.34 ,,,,
BP,10/10/2017, $37.68 ,,,,
BP,10/11/2017, $37.72 ,,,,
BP,10/12/2017, $37.87 ,,,,
BP,10/13/2017, $37.96 ,,,,
BP,10/16/2017, $38.05 ,,,,
BP,10/17/2017, $37.56 ,,,,
BP,10/18/2017, $37.59 ,,,,
BP,10/19/2017, $37.62 ,,,,
BP,10/20/2017, $37.62 ,,,,
BP,10/23/2017, $37.66 ,,,,
BP,10/24/2017, $37.86 ,,,,
BP,10/25/2017, $37.66 ,,,,
BP,10/26/2017, $37.52 ,,,,
BP,10/27/2017, $37.96 ,,,,
BP,10/30/2017, $38.47 ,,,,
BP,10/31/2017, $39.48 ,,,,
BP,11/1/2017, $39.57 ,,,,
BP,11/2/2017, $39.48 ,,,,
BP,11/3/2017, $39.38 ,,,,
BP,11/6/2017, $40.20 ,,,,
BP,11/7/2017, $40.27 ,,,,
BP,11/8/2017, $40.19 ,,,,
BP,11/9/2017, $40.11 ,,,,
BP,11/10/2017, $39.70 ,,,,
BP,11/13/2017, $39.29 ,,,,
BP,11/14/2017, $39.02 ,,,,
BP,11/15/2017, $38.51 ,,,,
BP,11/16/2017, $38.19 ,,,,
BP,11/17/2017, $38.51 ,,,,
BP,11/20/2017, $38.42 ,,,,
BP,11/21/2017, $38.55 ,,,,
BP,11/22/2017, $39.19 ,,,,
BP,11/24/2017, $39.45 ,,,,
BP,11/27/2017, $38.92 ,,,,
BP,11/28/2017, $39.31 ,,,,
BP,11/29/2017, $39.12 ,,,,
BP,11/30/2017, $39.47 ,,,,
BP,12/1/2017, $39.36 ,,,,
BP,12/4/2017, $39.32 ,,,,
BP,12/5/2017, $39.14 ,,,,
BP,12/6/2017, $38.99 ,,,,
BP,12/7/2017, $38.73 ,,,,
BP,12/8/2017, $39.05 ,,,,
BP,12/11/2017, $39.34 ,,,,
BP,12/12/2017, $40.06 ,,,,
BP,12/13/2017, $40.05 ,,,,
BP,12/14/2017, $40.03 ,,,,
BP,12/15/2017, $39.68 ,,,,
BP,12/18/2017, $40.23 ,,,,
BP,12/19/2017, $40.04 ,,,,
BP,12/20/2017, $40.34 ,,,,
BP,12/21/2017, $41.06 ,,,,
BP,12/22/2017, $40.68 ,,,,
BP,12/26/2017, $41.07 ,,,,
BP,12/27/2017, $41.10 ,,,,
BP,12/28/2017, $41.25 ,,,,
BP,12/29/2017, $41.41 ,,,,
BP,1/2/2018, $41.75 ,,,,
BP,1/3/2018, $42.23 ,,,,
BP,1/4/2018, $42.40 ,,,,
BP,1/5/2018, $42.46 ,,,,
BP,1/8/2018, $42.44 ,,,,
BP,1/9/2018, $42.23 ,,,,
BP,1/10/2018, $42.26 ,,,,
BP,1/11/2018, $42.63 ,,,,
BP,1/12/2018, $43.26 ,,,,
BP,1/16/2018, $41.83 ,,,,
BP,1/17/2018, $42.24 ,,,,
BP,1/18/2018, $42.26 ,,,,
BP,1/19/2018, $41.77 ,,,,
BP,1/22/2018, $42.75 ,,,,
BP,1/23/2018, $42.60 ,,,,
BP,1/24/2018, $43.29 ,,,,
BP,1/25/2018, $43.09 ,,,,
BP,1/26/2018, $43.16 ,,,,
BP,1/29/2018, $42.71 ,,,,
BP,1/30/2018, $42.17 ,,,,
BP,1/31/2018, $42.15 ,,,,
BP,2/1/2018, $42.72 ,,,,
BP,2/2/2018, $40.55 ,,,,
BP,2/5/2018, $39.19 ,,,,
BP,2/6/2018, $39.97 ,,,,
BP,2/7/2018, $39.41 ,,,,
BP,2/8/2018, $38.96 ,,,,
BP,2/9/2018, $38.53 ,,,,
BP,2/12/2018, $39.28 ,,,,
BP,2/13/2018, $39.10 ,,,,
BP,2/14/2018, $39.77 ,,,,
BP,2/15/2018, $39.84 ,,,,
BP,2/16/2018, $39.62 ,,,,
BP,2/20/2018, $39.52 ,,,,
BP,2/21/2018, $38.84 ,,,,
BP,2/22/2018, $39.25 ,,,,
BP,2/23/2018, $40.10 ,,,,
BP,2/26/2018, $40.29 ,,,,
BP,2/27/2018, $39.50 ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/12/2015, $34.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/13/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/16/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/17/2015, $31.50 ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/18/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/19/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/20/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/25/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/26/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/27/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/30/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,3/31/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/1/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/6/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/7/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/8/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/9/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/10/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/13/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/14/2015, $48.95 ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/15/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/16/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/17/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/20/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/21/2015, $49.50 ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/22/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/23/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/24/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/27/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/28/2015, null ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/29/2015, $52.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,4/30/2015, $52.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/4/2015, $52.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/5/2015, $52.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/6/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/7/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/8/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/11/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/12/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/13/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/14/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/15/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/18/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/19/2015, $53.00 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/20/2015, $54.30 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/21/2015, $54.30 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/22/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/26/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/27/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/28/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,5/29/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/1/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/2/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/3/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/4/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/5/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/8/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/9/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/10/2015, $55.55 ,,,,
Petróleo Brasileiro S.A. - Petrobras,6/11/2015, $52.90 ,,,,
