Date,Adj Close
3/4/2013,75.458092
3/5/2013,76.01799
3/6/2013,75.975555
3/7/2013,75.254486
3/8/2013,75.47506
3/11/2013,75.636238
3/12/2013,75.636238
3/13/2013,75.721077
3/14/2013,76.204613
3/15/2013,75.814362
3/18/2013,75.305397
3/19/2013,75.144211
3/20/2013,75.186615
3/21/2013,74.796394
3/22/2013,75.746513
3/25/2013,75.517448
3/26/2013,76.459091
3/27/2013,76.840843
3/28/2013,76.442146
4/1/2013,77.002037
4/2/2013,76.840843
4/3/2013,76.289459
4/4/2013,76.153709
4/5/2013,75.508987
4/8/2013,75.161171
4/9/2013,75.305397
4/10/2013,75.229034
4/11/2013,75.687141
4/12/2013,75.492004
4/15/2013,73.371208
4/16/2013,73.473015
4/17/2013,73.023407
4/18/2013,73.481491
4/19/2013,74.1856
4/22/2013,74.728554
4/23/2013,75.755005
4/24/2013,75.865288
4/25/2013,74.711555
4/26/2013,74.652184
4/29/2013,74.830345
4/30/2013,75.492004
5/1/2013,74.236511
5/2/2013,75.186615
5/3/2013,76.365791
5/6/2013,76.840843
5/7/2013,77.324394
5/8/2013,77.790955
5/9/2013,77.756783
5/10/2013,76.996574
5/13/2013,76.962395
5/14/2013,77.825157
5/15/2013,77.936172
5/16/2013,77.474899
5/17/2013,78.380348
5/20/2013,79.029526
5/21/2013,79.268715
5/22/2013,78.747665
5/23/2013,78.405983
5/24/2013,78.183891
5/28/2013,78.909943
5/29/2013,78.653709
5/30/2013,78.662209
5/31/2013,77.278465
6/3/2013,78.1241
6/4/2013,77.551796
6/5/2013,76.578018
6/6/2013,77.073448
6/7/2013,78.11554
6/10/2013,77.833664
6/11/2013,77.269905
6/12/2013,76.6549
6/13/2013,78.013039
6/14/2013,77.372421
6/17/2013,78.166809
6/18/2013,78.525566
6/19/2013,77.731171
6/20/2013,76.065514
6/21/2013,76.432816
6/24/2013,75.578621
6/25/2013,76.116768
6/26/2013,76.706146
6/27/2013,76.911148
6/28/2013,77.175957
7/1/2013,77.133247
7/2/2013,77.42366
7/3/2013,77.466362
7/5/2013,78.218063
7/8/2013,78.798912
7/9/2013,79.729965
7/10/2013,79.285805
7/11/2013,79.670174
7/12/2013,79.781219
7/15/2013,79.653107
7/16/2013,79.695808
7/17/2013,79.832489
7/18/2013,80.61834
7/19/2013,81.293159
7/22/2013,81.002716
7/23/2013,81.318779
7/24/2013,81.139389
7/25/2013,81.122322
7/26/2013,80.968544
7/29/2013,80.319366
7/30/2013,80.131432
7/31/2013,80.080193
8/1/2013,79.208923
8/2/2013,78.542664
8/5/2013,78.23513
8/6/2013,78.132629
8/7/2013,78.021584
8/8/2013,78.397446
8/9/2013,78.027603
8/12/2013,77.313721
8/13/2013,76.892288
8/14/2013,76.505219
8/15/2013,75.825768
8/16/2013,75.610741
8/19/2013,74.759239
8/20/2013,74.681839
8/21/2013,74.329201
8/22/2013,74.810844
8/23/2013,75.275314
8/26/2013,74.905472
8/27/2013,74.673256
8/28/2013,76.410622
8/29/2013,75.06028
8/30/2013,74.965668
9/3/2013,74.957077
9/4/2013,75.481728
9/5/2013,75.129097
9/6/2013,75.043076
9/9/2013,75.722557
9/10/2013,75.53334
9/11/2013,76.410622
9/12/2013,75.670952
9/13/2013,76.032166
9/16/2013,76.26442
9/17/2013,76.496651
9/18/2013,77.047104
9/19/2013,76.78907
9/20/2013,76.255814
9/23/2013,75.473129
9/24/2013,75.137688
9/25/2013,74.948463
9/26/2013,74.888252
9/27/2013,74.742043
9/30/2013,74.002365
10/1/2013,73.967964
10/2/2013,74.036781
10/3/2013,73.53791
10/4/2013,74.243195
10/7/2013,73.881943
10/8/2013,73.546516
10/9/2013,73.245491
10/10/2013,74.002365
10/11/2013,74.785057
10/14/2013,75.344116
10/15/2013,74.647423
10/16/2013,75.094688
10/17/2013,75.240906
10/18/2013,75.301102
10/21/2013,75.025894
10/22/2013,75.670952
10/23/2013,75.352715
10/24/2013,76.049385
10/25/2013,75.662338
10/28/2013,75.885979
10/29/2013,76.488045
10/30/2013,76.384842
10/31/2013,77.081497
11/1/2013,77.25351
11/4/2013,79.214546
11/5/2013,79.119919
11/6/2013,80.177834
11/7/2013,79.632294
11/8/2013,80.299072
11/11/2013,80.498222
11/12/2013,80.247101
11/13/2013,80.177826
11/14/2013,80.723373
11/15/2013,82.498566
11/18/2013,82.654427
11/19/2013,82.628441
11/20/2013,81.987671
11/21/2013,81.996323
11/22/2013,82.27343
11/25/2013,82.342682
11/26/2013,81.632614
11/27/2013,81.225624
11/29/2013,80.948532
12/2/2013,80.983162
12/3/2013,81.736534
12/4/2013,81.979012
12/5/2013,81.511398
12/6/2013,82.827621
12/9/2013,82.992142
12/10/2013,82.879585
12/11/2013,81.623955
12/12/2013,82.576515
12/13/2013,82.533195
12/16/2013,84.187141
12/17/2013,83.780174
12/18/2013,86.196152
12/19/2013,86.100906
12/20/2013,85.451431
12/23/2013,85.304237
12/24/2013,85.91906
12/26/2013,87.37384
12/27/2013,87.902054
12/30/2013,86.862938
12/31/2013,87.633621
1/2/2014,86.378006
1/3/2014,86.170166
1/6/2014,86.300072
1/7/2014,87.521042
1/8/2014,87.235283
1/9/2014,86.38665
1/10/2014,87.044769
1/13/2014,85.338875
1/14/2014,85.832481
1/15/2014,85.538033
1/16/2014,85.67659
1/17/2014,85.867104
1/21/2014,85.295578
1/22/2014,84.758675
