Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
3/4/2013,75.458092,50.289307,29.695126,96.535545,90.12
3/5/2013,76.01799,50.755718,29.835163,96.897087,90.82
3/6/2013,75.975555,50.711288,30.004677,97.340782,90.43
3/7/2013,75.254486,50.977802,29.960461,97.414719,91.56
3/8/2013,75.47506,50.437363,29.768835,97.422935,91.95
3/11/2013,75.636238,50.400356,29.923611,97.554405,92.06
3/12/2013,75.636238,50.148651,29.783579,97.160011,92.54
3/13/2013,75.721077,50.156055,29.621418,97.250397,92.52
3/14/2013,76.204613,50.674271,30.218426,98.5979,93.03
3/15/2013,75.814362,50.244892,30.277386,98.334969,93.45
3/18/2013,75.305397,49.830318,29.967827,97.883072,93.74
3/19/2013,75.144211,49.941357,30.218426,98.154221,92.16
3/20/2013,75.186615,50.030209,30.085756,98.88549,92.96
3/21/2013,74.796394,49.474976,30.13735,98.877274,92.45
3/22/2013,75.746513,49.948772,30.955456,99.567444,93.71
3/25/2013,75.517448,49.334309,30.92598,98.745804,94.81
3/26/2013,76.459091,49.919163,31.191303,99.40313,96.34
3/27/2013,76.840843,49.63784,31.147083,98.754013,96.58
3/28/2013,76.442146,49.46756,31.213413,97.628357,97.23
4/1/2013,77.002037,49.304699,30.96283,98.277458,97.07
4/2/2013,76.840843,49.452763,31.058641,97.776237,97.19
4/3/2013,76.289459,49.112217,30.88175,96.773827,94.45
4/4/2013,76.153709,48.853115,30.424791,97.012115,93.26
4/5/2013,75.508987,48.919743,30.601681,96.560196,92.7
4/8/2013,75.161171,48.497757,30.380573,96.798492,93.36
4/9/2013,75.305397,49.015976,30.771193,97.480453,94.2
4/10/2013,75.229034,49.178841,30.638523,98.302101,94.64
4/11/2013,75.687141,49.563816,30.793301,99.378471,93.51
4/12/2013,75.492004,49.51939,30.638523,98.548607,91.29
4/15/2013,73.371208,48.756866,30.188944,95.779648,88.71
4/16/2013,73.473015,49.282494,30.328981,96.14119,88.72
4/17/2013,73.023407,48.505169,29.650906,94.333542,86.68
4/18/2013,73.481491,48.460747,30.284746,94.974434,87.73
4/19/2013,74.1856,48.586601,30.21105,95.229134,88.01
4/22/2013,74.728554,48.890121,30.328981,95.779648,88.76
4/23/2013,75.755005,49.800716,30.675375,96.527336,89.18
4/24/2013,75.865288,50.407764,31.014412,97.184669,91.43
4/25/2013,74.711555,50.948181,31.161819,97.37365,93.64
4/26/2013,74.652184,50.800129,31.102858,98.630775,93
4/29/2013,74.830345,51.370167,31.419792,99.682487,94.5
4/30/2013,75.492004,51.666302,32.134708,100.249413,93.46
5/1/2013,74.236511,51.651489,31.928335,98.819756,91.03
5/2/2013,75.186615,52.265938,32.083118,100.274063,93.99
5/3/2013,76.365791,52.880402,32.400055,101.465462,95.61
5/6/2013,76.840843,52.599091,32.407421,101.268265,96.16
5/7/2013,77.324394,52.562061,32.481113,101.095718,95.62
5/8/2013,77.790955,53.287575,32.56319,101.358635,96.62
5/9/2013,77.756783,53.065468,32.287113,101.588715,96.39
5/10/2013,76.996574,52.880402,32.219959,101.251839,96.04
5/13/2013,76.962395,52.843384,32.100563,100.93959,95.17
5/14/2013,77.825157,53.324581,32.167725,102.706146,94.21
5/15/2013,77.936172,52.200069,32.070717,101.886162,94.3
5/16/2013,77.474899,52.16259,31.899105,101.679092,95.16
5/17/2013,78.380348,52.522423,32.055794,102.225761,96.02
5/20/2013,79.029526,52.582413,32.384113,103.352211,96.71
5/21/2013,79.268715,53.137161,32.503506,104.313019,96.16
5/22/2013,78.747665,52.454964,32.294571,103.476456,94.28
5/23/2013,78.405983,52.462467,32.630352,103.865738,94.25
5/24/2013,78.183891,52.155098,32.473663,103.907158,94.15
5/28/2013,78.909943,52.320019,32.533348,104.718857,93.83
5/29/2013,78.653709,52.522423,32.570656,103.940285,95.01
5/30/2013,78.662209,52.582413,32.585583,103.625526,93.13
5/31/2013,77.278465,51.60033,32.018494,101.670792,93.61
6/3/2013,78.1241,51.967678,32.399036,102.780693,91.97
6/4/2013,77.551796,51.367928,32.264732,101.844765,93.45
6/5/2013,76.578018,50.745693,31.988632,100.693436,93.31
6/6/2013,77.073448,50.933125,32.197571,99.881729,93.74
6/7/2013,78.11554,50.790668,32.04834,100.801117,94.76
6/10/2013,77.833664,51.315464,32.294571,101.621124,96.03
6/11/2013,77.269905,51.337952,32.152802,100.594055,95.77
6/12/2013,76.6549,51.195499,31.914024,99.36821,95.38
6/13/2013,78.013039,51.630318,32.152802,100.767982,95.88
6/14/2013,77.372421,50.768196,31.966257,99.624962,96.69
6/17/2013,78.166809,51.075554,32.279648,100.403564,97.85
6/18/2013,78.525566,51.105541,32.302036,100.652023,97.77
6/19/2013,77.731171,50.558277,31.787174,99.807182,98.44
6/20/2013,76.065514,49.793606,31.100681,97.695084,98.24
6/21/2013,76.432816,49.748619,31.130531,98.506783,95.4
6/24/2013,75.578621,49.246346,30.981295,96.759117,93.69
6/25/2013,76.116768,49.156387,31.100681,97.280952,95.18
6/26/2013,76.706146,49.538715,31.212612,97.860733,95.32
6/27/2013,76.911148,50.063484,31.175303,98.324585,95.5
6/28/2013,77.175957,49.681152,31.14546,98.018112,97.05
7/1/2013,77.133247,49.70364,31.070847,98.631027,96.56
7/2/2013,77.42366,49.523716,30.876835,98.688988,97.99
7/3/2013,77.466362,49.433746,30.727606,98.631027,99.6
7/5/2013,78.218063,49.306305,30.720135,99.815475,101.24
7/8/2013,78.798912,49.883564,30.802214,100.42012,101.4
7/9/2013,79.729965,50.265907,31.078306,102.101509,103.22
7/10/2013,79.285805,50.895626,31.429005,101.795044,103.14
7/11/2013,79.670174,52.267536,31.742401,102.515648,103.53
7/12/2013,79.781219,52.327526,31.481241,102.755852,106.52
7/15/2013,79.653107,51.937675,31.44393,103.269371,104.91
7/16/2013,79.695808,52.477451,31.742401,102.80555,105.95
7/17/2013,79.832489,52.762329,31.749865,102.99604,106.32
7/18/2013,80.61834,53.047203,31.869247,103.923714,106
7/19/2013,81.293159,53.069695,32.093102,105.116447,106.48
7/22/2013,81.002716,53.257122,32.234875,105.21582,108.04
7/23/2013,81.318779,53.38456,32.49604,105.406319,108.05
7/24/2013,81.139389,53.414543,32.41396,104.669167,106.91
7/25/2013,81.122322,53.639442,32.600494,105.820473,107.23
7/26/2013,80.968544,53.37706,32.518425,105.6548,105.39
7/29/2013,80.319366,52.874783,32.175179,104.503502,105.49
7/30/2013,80.131432,52.477451,31.14546,104.180473,104.7
7/31/2013,80.080193,53.129681,30.9216,104.271576,104.55
8/1/2013,79.208923,50.385849,31.130531,104.727142,103.08
8/2/2013,78.542664,50.041,31.287231,103.493004,105.03
8/5/2013,78.23513,50.198437,31.317087,102.697845,107.89
8/6/2013,78.132629,50.220917,31.220076,101.993835,106.94
